forecast_id,corridor_id,section_id,forecast_date,window_start,window_end,expected_train_count,lower_bound,upper_bound,confidence,expected_occupancy_minutes,synthetic_data
FORECAST-000451,COR-03,SEC-08,2026-09-08,2026-09-08T12:00:00,2026-09-08T18:00:00,2,1,3,0.76,42,True
FORECAST-000452,COR-03,SEC-08,2026-09-08,2026-09-08T18:00:00,2026-09-09T00:00:00,0,0,2,0.9,0,True
FORECAST-000453,COR-03,SEC-09,2026-09-08,2026-09-08T00:00:00,2026-09-08T06:00:00,1,0,2,0.88,26,True
FORECAST-000454,COR-03,SEC-09,2026-09-08,2026-09-08T06:00:00,2026-09-08T12:00:00,3,1,5,0.8,60,True
FORECAST-000455,COR-03,SEC-09,2026-09-08,2026-09-08T12:00:00,2026-09-08T18:00:00,3,2,4,0.9,63,True
FORECAST-000456,COR-03,SEC-09,2026-09-08,2026-09-08T18:00:00,2026-09-09T00:00:00,3,2,4,0.8,60,True
FORECAST-000457,COR-04,SEC-10,2026-09-08,2026-09-08T00:00:00,2026-09-08T06:00:00,2,1,3,0.94,46,True
FORECAST-000458,COR-04,SEC-10,2026-09-08,2026-09-08T06:00:00,2026-09-08T12:00:00,4,3,5,0.92,112,True
FORECAST-000459,COR-04,SEC-10,2026-09-08,2026-09-08T12:00:00,2026-09-08T18:00:00,3,2,4,0.93,69,True
FORECAST-000460,COR-04,SEC-10,2026-09-08,2026-09-08T18:00:00,2026-09-09T00:00:00,4,3,5,0.86,88,True
FORECAST-000461,COR-04,SEC-11,2026-09-08,2026-09-08T00:00:00,2026-09-08T06:00:00,0,0,1,0.86,0,True
FORECAST-000462,COR-04,SEC-11,2026-09-08,2026-09-08T06:00:00,2026-09-08T12:00:00,4,2,6,0.83,84,True
FORECAST-000463,COR-04,SEC-11,2026-09-08,2026-09-08T12:00:00,2026-09-08T18:00:00,3,2,4,0.74,60,True
FORECAST-000464,COR-04,SEC-11,2026-09-08,2026-09-08T18:00:00,2026-09-09T00:00:00,4,3,5,0.81,72,True
FORECAST-000465,COR-04,SEC-12,2026-09-08,2026-09-08T00:00:00,2026-09-08T06:00:00,4,2,6,0.75,92,True
FORECAST-000466,COR-04,SEC-12,2026-09-08,2026-09-08T06:00:00,2026-09-08T12:00:00,2,1,3,0.74,48,True
FORECAST-000467,COR-04,SEC-12,2026-09-08,2026-09-08T12:00:00,2026-09-08T18:00:00,4,3,5,0.72,108,True
FORECAST-000468,COR-04,SEC-12,2026-09-08,2026-09-08T18:00:00,2026-09-09T00:00:00,2,0,4,0.78,46,True
FORECAST-000469,COR-05,SEC-13,2026-09-08,2026-09-08T00:00:00,2026-09-08T06:00:00,6,5,7,0.82,162,True
FORECAST-000470,COR-05,SEC-13,2026-09-08,2026-09-08T06:00:00,2026-09-08T12:00:00,4,3,5,0.75,76,True
FORECAST-000471,COR-05,SEC-13,2026-09-08,2026-09-08T12:00:00,2026-09-08T18:00:00,5,4,6,0.83,100,True
FORECAST-000472,COR-05,SEC-13,2026-09-08,2026-09-08T18:00:00,2026-09-09T00:00:00,4,3,5,0.77,76,True
FORECAST-000473,COR-05,SEC-14,2026-09-08,2026-09-08T00:00:00,2026-09-08T06:00:00,5,3,7,0.84,90,True
FORECAST-000474,COR-05,SEC-14,2026-09-08,2026-09-08T06:00:00,2026-09-08T12:00:00,6,4,8,0.86,168,True
FORECAST-000475,COR-05,SEC-14,2026-09-08,2026-09-08T12:00:00,2026-09-08T18:00:00,3,2,4,0.89,78,True
FORECAST-000476,COR-05,SEC-14,2026-09-08,2026-09-08T18:00:00,2026-09-09T00:00:00,6,5,7,0.86,126,True
FORECAST-000477,COR-05,SEC-15,2026-09-08,2026-09-08T00:00:00,2026-09-08T06:00:00,3,1,5,0.75,75,True
FORECAST-000478,COR-05,SEC-15,2026-09-08,2026-09-08T06:00:00,2026-09-08T12:00:00,7,6,8,0.74,182,True
FORECAST-000479,COR-05,SEC-15,2026-09-08,2026-09-08T12:00:00,2026-09-08T18:00:00,4,3,5,0.84,88,True
FORECAST-000480,COR-05,SEC-15,2026-09-08,2026-09-08T18:00:00,2026-09-09T00:00:00,5,4,6,0.88,120,True
FORECAST-000481,COR-01,SEC-01,2026-09-09,2026-09-09T00:00:00,2026-09-09T06:00:00,1,0,2,0.84,19,True
FORECAST-000482,COR-01,SEC-01,2026-09-09,2026-09-09T06:00:00,2026-09-09T12:00:00,1,0,2,0.91,21,True
FORECAST-000483,COR-01,SEC-01,2026-09-09,2026-09-09T12:00:00,2026-09-09T18:00:00,1,0,2,0.76,23,True
FORECAST-000484,COR-01,SEC-01,2026-09-09,2026-09-09T18:00:00,2026-09-10T00:00:00,4,3,5,0.79,80,True
FORECAST-000485,COR-01,SEC-02,2026-09-09,2026-09-09T00:00:00,2026-09-09T06:00:00,2,0,4,0.74,40,True
FORECAST-000486,COR-01,SEC-02,2026-09-09,2026-09-09T06:00:00,2026-09-09T12:00:00,1,0,2,0.94,22,True
FORECAST-000487,COR-01,SEC-02,2026-09-09,2026-09-09T12:00:00,2026-09-09T18:00:00,3,2,4,0.8,57,True
FORECAST-000488,COR-01,SEC-02,2026-09-09,2026-09-09T18:00:00,2026-09-10T00:00:00,0,0,1,0.73,0,True
FORECAST-000489,COR-01,SEC-03,2026-09-09,2026-09-09T00:00:00,2026-09-09T06:00:00,2,1,3,0.9,36,True
FORECAST-000490,COR-01,SEC-03,2026-09-09,2026-09-09T06:00:00,2026-09-09T12:00:00,2,1,3,0.92,50,True
FORECAST-000491,COR-01,SEC-03,2026-09-09,2026-09-09T12:00:00,2026-09-09T18:00:00,4,2,6,0.77,112,True
FORECAST-000492,COR-01,SEC-03,2026-09-09,2026-09-09T18:00:00,2026-09-10T00:00:00,1,0,2,0.8,22,True
FORECAST-000493,COR-02,SEC-04,2026-09-09,2026-09-09T00:00:00,2026-09-09T06:00:00,2,1,3,0.78,56,True
FORECAST-000494,COR-02,SEC-04,2026-09-09,2026-09-09T06:00:00,2026-09-09T12:00:00,3,1,5,0.73,66,True
FORECAST-000495,COR-02,SEC-04,2026-09-09,2026-09-09T12:00:00,2026-09-09T18:00:00,0,0,2,0.76,0,True
FORECAST-000496,COR-02,SEC-04,2026-09-09,2026-09-09T18:00:00,2026-09-10T00:00:00,2,1,3,0.75,40,True
FORECAST-000497,COR-02,SEC-05,2026-09-09,2026-09-09T00:00:00,2026-09-09T06:00:00,1,0,2,0.72,25,True
FORECAST-000498,COR-02,SEC-05,2026-09-09,2026-09-09T06:00:00,2026-09-09T12:00:00,4,3,5,0.84,76,True
FORECAST-000499,COR-02,SEC-05,2026-09-09,2026-09-09T12:00:00,2026-09-09T18:00:00,1,0,3,0.77,24,True
FORECAST-000500,COR-02,SEC-05,2026-09-09,2026-09-09T18:00:00,2026-09-10T00:00:00,3,1,5,0.89,66,True
FORECAST-000501,COR-02,SEC-06,2026-09-09,2026-09-09T00:00:00,2026-09-09T06:00:00,1,0,2,0.87,27,True
FORECAST-000502,COR-02,SEC-06,2026-09-09,2026-09-09T06:00:00,2026-09-09T12:00:00,3,1,5,0.91,84,True
FORECAST-000503,COR-02,SEC-06,2026-09-09,2026-09-09T12:00:00,2026-09-09T18:00:00,1,0,2,0.73,21,True
FORECAST-000504,COR-02,SEC-06,2026-09-09,2026-09-09T18:00:00,2026-09-10T00:00:00,4,2,6,0.85,100,True
FORECAST-000505,COR-03,SEC-07,2026-09-09,2026-09-09T00:00:00,2026-09-09T06:00:00,3,2,4,0.85,66,True
FORECAST-000506,COR-03,SEC-07,2026-09-09,2026-09-09T06:00:00,2026-09-09T12:00:00,0,0,1,0.93,0,True
FORECAST-000507,COR-03,SEC-07,2026-09-09,2026-09-09T12:00:00,2026-09-09T18:00:00,1,0,2,0.72,20,True
FORECAST-000508,COR-03,SEC-07,2026-09-09,2026-09-09T18:00:00,2026-09-10T00:00:00,3,1,5,0.87,54,True
FORECAST-000509,COR-03,SEC-08,2026-09-09,2026-09-09T00:00:00,2026-09-09T06:00:00,4,2,6,0.78,88,True
FORECAST-000510,COR-03,SEC-08,2026-09-09,2026-09-09T06:00:00,2026-09-09T12:00:00,3,1,5,0.88,60,True
FORECAST-000511,COR-03,SEC-08,2026-09-09,2026-09-09T12:00:00,2026-09-09T18:00:00,1,0,2,0.93,25,True
FORECAST-000512,COR-03,SEC-08,2026-09-09,2026-09-09T18:00:00,2026-09-10T00:00:00,4,3,5,0.84,84,True
FORECAST-000513,COR-03,SEC-09,2026-09-09,2026-09-09T00:00:00,2026-09-09T06:00:00,4,3,5,0.76,80,True
FORECAST-000514,COR-03,SEC-09,2026-09-09,2026-09-09T06:00:00,2026-09-09T12:00:00,3,1,5,0.77,63,True
FORECAST-000515,COR-03,SEC-09,2026-09-09,2026-09-09T12:00:00,2026-09-09T18:00:00,2,1,3,0.9,36,True
FORECAST-000516,COR-03,SEC-09,2026-09-09,2026-09-09T18:00:00,2026-09-10T00:00:00,0,0,1,0.8,0,True
FORECAST-000517,COR-04,SEC-10,2026-09-09,2026-09-09T00:00:00,2026-09-09T06:00:00,4,3,5,0.77,108,True
FORECAST-000518,COR-04,SEC-10,2026-09-09,2026-09-09T06:00:00,2026-09-09T12:00:00,3,2,4,0.81,72,True
FORECAST-000519,COR-04,SEC-10,2026-09-09,2026-09-09T12:00:00,2026-09-09T18:00:00,3,2,4,0.83,84,True
FORECAST-000520,COR-04,SEC-10,2026-09-09,2026-09-09T18:00:00,2026-09-10T00:00:00,3,2,4,0.78,60,True
FORECAST-000521,COR-04,SEC-11,2026-09-09,2026-09-09T00:00:00,2026-09-09T06:00:00,3,2,4,0.73,78,True
FORECAST-000522,COR-04,SEC-11,2026-09-09,2026-09-09T06:00:00,2026-09-09T12:00:00,3,2,4,0.77,81,True
FORECAST-000523,COR-04,SEC-11,2026-09-09,2026-09-09T12:00:00,2026-09-09T18:00:00,4,3,5,0.82,84,True
FORECAST-000524,COR-04,SEC-11,2026-09-09,2026-09-09T18:00:00,2026-09-10T00:00:00,3,2,4,0.89,78,True
FORECAST-000525,COR-04,SEC-12,2026-09-09,2026-09-09T00:00:00,2026-09-09T06:00:00,4,3,5,0.77,108,True
FORECAST-000526,COR-04,SEC-12,2026-09-09,2026-09-09T06:00:00,2026-09-09T12:00:00,4,3,5,0.88,84,True
FORECAST-000527,COR-04,SEC-12,2026-09-09,2026-09-09T12:00:00,2026-09-09T18:00:00,1,0,2,0.9,22,True
FORECAST-000528,COR-04,SEC-12,2026-09-09,2026-09-09T18:00:00,2026-09-10T00:00:00,3,2,4,0.8,75,True
FORECAST-000529,COR-05,SEC-13,2026-09-09,2026-09-09T00:00:00,2026-09-09T06:00:00,5,3,7,0.73,130,True
FORECAST-000530,COR-05,SEC-13,2026-09-09,2026-09-09T06:00:00,2026-09-09T12:00:00,7,6,8,0.72,189,True
FORECAST-000531,COR-05,SEC-13,2026-09-09,2026-09-09T12:00:00,2026-09-09T18:00:00,4,2,6,0.78,92,True
FORECAST-000532,COR-05,SEC-13,2026-09-09,2026-09-09T18:00:00,2026-09-10T00:00:00,7,6,8,0.91,182,True
FORECAST-000533,COR-05,SEC-14,2026-09-09,2026-09-09T00:00:00,2026-09-09T06:00:00,7,6,8,0.85,175,True
FORECAST-000534,COR-05,SEC-14,2026-09-09,2026-09-09T06:00:00,2026-09-09T12:00:00,4,3,5,0.92,92,True
FORECAST-000535,COR-05,SEC-14,2026-09-09,2026-09-09T12:00:00,2026-09-09T18:00:00,6,4,8,0.75,108,True
FORECAST-000536,COR-05,SEC-14,2026-09-09,2026-09-09T18:00:00,2026-09-10T00:00:00,3,2,4,0.91,54,True
FORECAST-000537,COR-05,SEC-15,2026-09-09,2026-09-09T00:00:00,2026-09-09T06:00:00,3,1,5,0.82,66,True
FORECAST-000538,COR-05,SEC-15,2026-09-09,2026-09-09T06:00:00,2026-09-09T12:00:00,6,4,8,0.9,120,True
FORECAST-000539,COR-05,SEC-15,2026-09-09,2026-09-09T12:00:00,2026-09-09T18:00:00,3,2,4,0.92,54,True
FORECAST-000540,COR-05,SEC-15,2026-09-09,2026-09-09T18:00:00,2026-09-10T00:00:00,6,5,7,0.86,168,True
FORECAST-000541,COR-01,SEC-01,2026-09-10,2026-09-10T00:00:00,2026-09-10T06:00:00,4,3,5,0.78,104,True
FORECAST-000542,COR-01,SEC-01,2026-09-10,2026-09-10T06:00:00,2026-09-10T12:00:00,0,0,2,0.93,0,True
FORECAST-000543,COR-01,SEC-01,2026-09-10,2026-09-10T12:00:00,2026-09-10T18:00:00,3,2,4,0.83,81,True
FORECAST-000544,COR-01,SEC-01,2026-09-10,2026-09-10T18:00:00,2026-09-11T00:00:00,4,2,6,0.76,72,True
FORECAST-000545,COR-01,SEC-02,2026-09-10,2026-09-10T00:00:00,2026-09-10T06:00:00,2,1,3,0.93,42,True
FORECAST-000546,COR-01,SEC-02,2026-09-10,2026-09-10T06:00:00,2026-09-10T12:00:00,0,0,2,0.91,0,True
FORECAST-000547,COR-01,SEC-02,2026-09-10,2026-09-10T12:00:00,2026-09-10T18:00:00,4,3,5,0.78,112,True
FORECAST-000548,COR-01,SEC-02,2026-09-10,2026-09-10T18:00:00,2026-09-11T00:00:00,2,1,3,0.76,56,True
FORECAST-000549,COR-01,SEC-03,2026-09-10,2026-09-10T00:00:00,2026-09-10T06:00:00,1,0,2,0.77,21,True
FORECAST-000550,COR-01,SEC-03,2026-09-10,2026-09-10T06:00:00,2026-09-10T12:00:00,1,0,2,0.85,21,True
FORECAST-000551,COR-01,SEC-03,2026-09-10,2026-09-10T12:00:00,2026-09-10T18:00:00,1,0,3,0.85,28,True
FORECAST-000552,COR-01,SEC-03,2026-09-10,2026-09-10T18:00:00,2026-09-11T00:00:00,4,2,6,0.74,112,True
FORECAST-000553,COR-02,SEC-04,2026-09-10,2026-09-10T00:00:00,2026-09-10T06:00:00,3,2,4,0.75,72,True
FORECAST-000554,COR-02,SEC-04,2026-09-10,2026-09-10T06:00:00,2026-09-10T12:00:00,3,2,4,0.77,57,True
FORECAST-000555,COR-02,SEC-04,2026-09-10,2026-09-10T12:00:00,2026-09-10T18:00:00,3,2,4,0.82,60,True
FORECAST-000556,COR-02,SEC-04,2026-09-10,2026-09-10T18:00:00,2026-09-11T00:00:00,0,0,1,0.73,0,True
FORECAST-000557,COR-02,SEC-05,2026-09-10,2026-09-10T00:00:00,2026-09-10T06:00:00,2,0,4,0.76,42,True
FORECAST-000558,COR-02,SEC-05,2026-09-10,2026-09-10T06:00:00,2026-09-10T12:00:00,1,0,3,0.78,26,True
FORECAST-000559,COR-02,SEC-05,2026-09-10,2026-09-10T12:00:00,2026-09-10T18:00:00,1,0,3,0.91,20,True
FORECAST-000560,COR-02,SEC-05,2026-09-10,2026-09-10T18:00:00,2026-09-11T00:00:00,2,1,3,0.93,42,True
FORECAST-000561,COR-02,SEC-06,2026-09-10,2026-09-10T00:00:00,2026-09-10T06:00:00,0,0,1,0.92,0,True
FORECAST-000562,COR-02,SEC-06,2026-09-10,2026-09-10T06:00:00,2026-09-10T12:00:00,0,0,1,0.8,0,True
FORECAST-000563,COR-02,SEC-06,2026-09-10,2026-09-10T12:00:00,2026-09-10T18:00:00,1,0,2,0.86,22,True
FORECAST-000564,COR-02,SEC-06,2026-09-10,2026-09-10T18:00:00,2026-09-11T00:00:00,1,0,2,0.85,25,True
FORECAST-000565,COR-03,SEC-07,2026-09-10,2026-09-10T00:00:00,2026-09-10T06:00:00,4,2,6,0.78,104,True
FORECAST-000566,COR-03,SEC-07,2026-09-10,2026-09-10T06:00:00,2026-09-10T12:00:00,0,0,2,0.83,0,True
FORECAST-000567,COR-03,SEC-07,2026-09-10,2026-09-10T12:00:00,2026-09-10T18:00:00,3,2,4,0.9,84,True
FORECAST-000568,COR-03,SEC-07,2026-09-10,2026-09-10T18:00:00,2026-09-11T00:00:00,2,1,3,0.91,50,True
FORECAST-000569,COR-03,SEC-08,2026-09-10,2026-09-10T00:00:00,2026-09-10T06:00:00,2,1,3,0.89,56,True
FORECAST-000570,COR-03,SEC-08,2026-09-10,2026-09-10T06:00:00,2026-09-10T12:00:00,4,3,5,0.74,92,True
FORECAST-000571,COR-03,SEC-08,2026-09-10,2026-09-10T12:00:00,2026-09-10T18:00:00,4,3,5,0.82,84,True
FORECAST-000572,COR-03,SEC-08,2026-09-10,2026-09-10T18:00:00,2026-09-11T00:00:00,1,0,2,0.8,19,True
FORECAST-000573,COR-03,SEC-09,2026-09-10,2026-09-10T00:00:00,2026-09-10T06:00:00,2,1,3,0.81,50,True
FORECAST-000574,COR-03,SEC-09,2026-09-10,2026-09-10T06:00:00,2026-09-10T12:00:00,3,2,4,0.74,60,True
FORECAST-000575,COR-03,SEC-09,2026-09-10,2026-09-10T12:00:00,2026-09-10T18:00:00,0,0,2,0.72,0,True
FORECAST-000576,COR-03,SEC-09,2026-09-10,2026-09-10T18:00:00,2026-09-11T00:00:00,1,0,2,0.81,26,True
FORECAST-000577,COR-04,SEC-10,2026-09-10,2026-09-10T00:00:00,2026-09-10T06:00:00,4,2,6,0.84,112,True
FORECAST-000578,COR-04,SEC-10,2026-09-10,2026-09-10T06:00:00,2026-09-10T12:00:00,2,1,3,0.75,52,True
FORECAST-000579,COR-04,SEC-10,2026-09-10,2026-09-10T12:00:00,2026-09-10T18:00:00,2,1,3,0.9,48,True
FORECAST-000580,COR-04,SEC-10,2026-09-10,2026-09-10T18:00:00,2026-09-11T00:00:00,0,0,2,0.9,0,True
FORECAST-000581,COR-04,SEC-11,2026-09-10,2026-09-10T00:00:00,2026-09-10T06:00:00,1,0,2,0.74,27,True
FORECAST-000582,COR-04,SEC-11,2026-09-10,2026-09-10T06:00:00,2026-09-10T12:00:00,4,2,6,0.76,104,True
FORECAST-000583,COR-04,SEC-11,2026-09-10,2026-09-10T12:00:00,2026-09-10T18:00:00,1,0,2,0.91,25,True
FORECAST-000584,COR-04,SEC-11,2026-09-10,2026-09-10T18:00:00,2026-09-11T00:00:00,3,1,5,0.89,69,True
FORECAST-000585,COR-04,SEC-12,2026-09-10,2026-09-10T00:00:00,2026-09-10T06:00:00,2,1,3,0.78,46,True
FORECAST-000586,COR-04,SEC-12,2026-09-10,2026-09-10T06:00:00,2026-09-10T12:00:00,3,1,5,0.75,78,True
FORECAST-000587,COR-04,SEC-12,2026-09-10,2026-09-10T12:00:00,2026-09-10T18:00:00,3,2,4,0.79,60,True
FORECAST-000588,COR-04,SEC-12,2026-09-10,2026-09-10T18:00:00,2026-09-11T00:00:00,4,3,5,0.78,92,True
FORECAST-000589,COR-05,SEC-13,2026-09-10,2026-09-10T00:00:00,2026-09-10T06:00:00,4,2,6,0.78,72,True
FORECAST-000590,COR-05,SEC-13,2026-09-10,2026-09-10T06:00:00,2026-09-10T12:00:00,5,4,6,0.85,125,True
FORECAST-000591,COR-05,SEC-13,2026-09-10,2026-09-10T12:00:00,2026-09-10T18:00:00,3,2,4,0.92,75,True
FORECAST-000592,COR-05,SEC-13,2026-09-10,2026-09-10T18:00:00,2026-09-11T00:00:00,5,4,6,0.93,100,True
FORECAST-000593,COR-05,SEC-14,2026-09-10,2026-09-10T00:00:00,2026-09-10T06:00:00,3,2,4,0.77,54,True
FORECAST-000594,COR-05,SEC-14,2026-09-10,2026-09-10T06:00:00,2026-09-10T12:00:00,5,4,6,0.81,105,True
FORECAST-000595,COR-05,SEC-14,2026-09-10,2026-09-10T12:00:00,2026-09-10T18:00:00,6,4,8,0.74,114,True
FORECAST-000596,COR-05,SEC-14,2026-09-10,2026-09-10T18:00:00,2026-09-11T00:00:00,3,2,4,0.84,60,True
FORECAST-000597,COR-05,SEC-15,2026-09-10,2026-09-10T00:00:00,2026-09-10T06:00:00,7,6,8,0.84,182,True
FORECAST-000598,COR-05,SEC-15,2026-09-10,2026-09-10T06:00:00,2026-09-10T12:00:00,7,6,8,0.84,182,True
FORECAST-000599,COR-05,SEC-15,2026-09-10,2026-09-10T12:00:00,2026-09-10T18:00:00,3,2,4,0.76,75,True
FORECAST-000600,COR-05,SEC-15,2026-09-10,2026-09-10T18:00:00,2026-09-11T00:00:00,6,4,8,0.87,144,True
FORECAST-000601,COR-01,SEC-01,2026-09-11,2026-09-11T00:00:00,2026-09-11T06:00:00,4,3,5,0.93,80,True
FORECAST-000602,COR-01,SEC-01,2026-09-11,2026-09-11T06:00:00,2026-09-11T12:00:00,2,0,4,0.9,42,True
FORECAST-000603,COR-01,SEC-01,2026-09-11,2026-09-11T12:00:00,2026-09-11T18:00:00,0,0,1,0.83,0,True
FORECAST-000604,COR-01,SEC-01,2026-09-11,2026-09-11T18:00:00,2026-09-12T00:00:00,2,0,4,0.84,52,True
FORECAST-000605,COR-01,SEC-02,2026-09-11,2026-09-11T00:00:00,2026-09-11T06:00:00,3,2,4,0.89,63,True
FORECAST-000606,COR-01,SEC-02,2026-09-11,2026-09-11T06:00:00,2026-09-11T12:00:00,0,0,1,0.8,0,True
FORECAST-000607,COR-01,SEC-02,2026-09-11,2026-09-11T12:00:00,2026-09-11T18:00:00,4,3,5,0.83,76,True
FORECAST-000608,COR-01,SEC-02,2026-09-11,2026-09-11T18:00:00,2026-09-12T00:00:00,1,0,2,0.74,22,True
FORECAST-000609,COR-01,SEC-03,2026-09-11,2026-09-11T00:00:00,2026-09-11T06:00:00,0,0,1,0.84,0,True
FORECAST-000610,COR-01,SEC-03,2026-09-11,2026-09-11T06:00:00,2026-09-11T12:00:00,4,3,5,0.86,80,True
FORECAST-000611,COR-01,SEC-03,2026-09-11,2026-09-11T12:00:00,2026-09-11T18:00:00,2,0,4,0.86,48,True
FORECAST-000612,COR-01,SEC-03,2026-09-11,2026-09-11T18:00:00,2026-09-12T00:00:00,2,1,3,0.9,46,True
FORECAST-000613,COR-02,SEC-04,2026-09-11,2026-09-11T00:00:00,2026-09-11T06:00:00,3,2,4,0.72,81,True
FORECAST-000614,COR-02,SEC-04,2026-09-11,2026-09-11T06:00:00,2026-09-11T12:00:00,3,1,5,0.91,60,True
FORECAST-000615,COR-02,SEC-04,2026-09-11,2026-09-11T12:00:00,2026-09-11T18:00:00,1,0,3,0.82,22,True
FORECAST-000616,COR-02,SEC-04,2026-09-11,2026-09-11T18:00:00,2026-09-12T00:00:00,1,0,2,0.88,25,True
FORECAST-000617,COR-02,SEC-05,2026-09-11,2026-09-11T00:00:00,2026-09-11T06:00:00,2,0,4,0.87,56,True
FORECAST-000618,COR-02,SEC-05,2026-09-11,2026-09-11T06:00:00,2026-09-11T12:00:00,1,0,2,0.76,23,True
FORECAST-000619,COR-02,SEC-05,2026-09-11,2026-09-11T12:00:00,2026-09-11T18:00:00,1,0,2,0.85,28,True
FORECAST-000620,COR-02,SEC-05,2026-09-11,2026-09-11T18:00:00,2026-09-12T00:00:00,2,1,3,0.76,42,True
FORECAST-000621,COR-02,SEC-06,2026-09-11,2026-09-11T00:00:00,2026-09-11T06:00:00,3,2,4,0.81,81,True
FORECAST-000622,COR-02,SEC-06,2026-09-11,2026-09-11T06:00:00,2026-09-11T12:00:00,1,0,2,0.9,19,True
FORECAST-000623,COR-02,SEC-06,2026-09-11,2026-09-11T12:00:00,2026-09-11T18:00:00,4,3,5,0.88,104,True
FORECAST-000624,COR-02,SEC-06,2026-09-11,2026-09-11T18:00:00,2026-09-12T00:00:00,2,1,3,0.82,38,True
FORECAST-000625,COR-03,SEC-07,2026-09-11,2026-09-11T00:00:00,2026-09-11T06:00:00,2,1,3,0.8,42,True
FORECAST-000626,COR-03,SEC-07,2026-09-11,2026-09-11T06:00:00,2026-09-11T12:00:00,0,0,1,0.83,0,True
FORECAST-000627,COR-03,SEC-07,2026-09-11,2026-09-11T12:00:00,2026-09-11T18:00:00,0,0,1,0.94,0,True
FORECAST-000628,COR-03,SEC-07,2026-09-11,2026-09-11T18:00:00,2026-09-12T00:00:00,4,3,5,0.9,80,True
FORECAST-000629,COR-03,SEC-08,2026-09-11,2026-09-11T00:00:00,2026-09-11T06:00:00,0,0,1,0.78,0,True
FORECAST-000630,COR-03,SEC-08,2026-09-11,2026-09-11T06:00:00,2026-09-11T12:00:00,2,1,3,0.81,48,True
FORECAST-000631,COR-03,SEC-08,2026-09-11,2026-09-11T12:00:00,2026-09-11T18:00:00,1,0,2,0.83,18,True
FORECAST-000632,COR-03,SEC-08,2026-09-11,2026-09-11T18:00:00,2026-09-12T00:00:00,0,0,1,0.73,0,True
FORECAST-000633,COR-03,SEC-09,2026-09-11,2026-09-11T00:00:00,2026-09-11T06:00:00,2,1,3,0.81,44,True
FORECAST-000634,COR-03,SEC-09,2026-09-11,2026-09-11T06:00:00,2026-09-11T12:00:00,2,1,3,0.75,42,True
FORECAST-000635,COR-03,SEC-09,2026-09-11,2026-09-11T12:00:00,2026-09-11T18:00:00,0,0,1,0.8,0,True
FORECAST-000636,COR-03,SEC-09,2026-09-11,2026-09-11T18:00:00,2026-09-12T00:00:00,0,0,1,0.82,0,True
FORECAST-000637,COR-04,SEC-10,2026-09-11,2026-09-11T00:00:00,2026-09-11T06:00:00,4,2,6,0.74,84,True
FORECAST-000638,COR-04,SEC-10,2026-09-11,2026-09-11T06:00:00,2026-09-11T12:00:00,3,2,4,0.84,78,True
FORECAST-000639,COR-04,SEC-10,2026-09-11,2026-09-11T12:00:00,2026-09-11T18:00:00,2,1,3,0.84,52,True
FORECAST-000640,COR-04,SEC-10,2026-09-11,2026-09-11T18:00:00,2026-09-12T00:00:00,4,3,5,0.85,72,True
FORECAST-000641,COR-04,SEC-11,2026-09-11,2026-09-11T00:00:00,2026-09-11T06:00:00,1,0,2,0.74,28,True
FORECAST-000642,COR-04,SEC-11,2026-09-11,2026-09-11T06:00:00,2026-09-11T12:00:00,4,3,5,0.9,108,True
FORECAST-000643,COR-04,SEC-11,2026-09-11,2026-09-11T12:00:00,2026-09-11T18:00:00,4,2,6,0.75,80,True
FORECAST-000644,COR-04,SEC-11,2026-09-11,2026-09-11T18:00:00,2026-09-12T00:00:00,2,1,3,0.86,44,True
FORECAST-000645,COR-04,SEC-12,2026-09-11,2026-09-11T00:00:00,2026-09-11T06:00:00,4,3,5,0.82,76,True
FORECAST-000646,COR-04,SEC-12,2026-09-11,2026-09-11T06:00:00,2026-09-11T12:00:00,4,2,6,0.88,104,True
FORECAST-000647,COR-04,SEC-12,2026-09-11,2026-09-11T12:00:00,2026-09-11T18:00:00,1,0,2,0.89,26,True
FORECAST-000648,COR-04,SEC-12,2026-09-11,2026-09-11T18:00:00,2026-09-12T00:00:00,4,2,6,0.79,76,True
FORECAST-000649,COR-05,SEC-13,2026-09-11,2026-09-11T00:00:00,2026-09-11T06:00:00,6,4,8,0.82,132,True
FORECAST-000650,COR-05,SEC-13,2026-09-11,2026-09-11T06:00:00,2026-09-11T12:00:00,3,2,4,0.91,57,True
FORECAST-000651,COR-05,SEC-13,2026-09-11,2026-09-11T12:00:00,2026-09-11T18:00:00,7,5,9,0.89,140,True
FORECAST-000652,COR-05,SEC-13,2026-09-11,2026-09-11T18:00:00,2026-09-12T00:00:00,3,1,5,0.82,72,True
FORECAST-000653,COR-05,SEC-14,2026-09-11,2026-09-11T00:00:00,2026-09-11T06:00:00,5,4,6,0.84,95,True
FORECAST-000654,COR-05,SEC-14,2026-09-11,2026-09-11T06:00:00,2026-09-11T12:00:00,4,2,6,0.92,104,True
FORECAST-000655,COR-05,SEC-14,2026-09-11,2026-09-11T12:00:00,2026-09-11T18:00:00,3,2,4,0.85,75,True
FORECAST-000656,COR-05,SEC-14,2026-09-11,2026-09-11T18:00:00,2026-09-12T00:00:00,5,4,6,0.77,100,True
FORECAST-000657,COR-05,SEC-15,2026-09-11,2026-09-11T00:00:00,2026-09-11T06:00:00,7,5,9,0.93,154,True
